Index;Price;Host Since;Host Response Rate;Host Verifications;Neighbourhood Group Cleansed;Longitude;Room Type;Accommodates;Bathrooms;Bedrooms;Amenities;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 30;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Features
6309;19.0;7;100.0;5;34.44303797468354;-3.7586744782857537;32.38965911831498;1;1.0;1.0;12;0.0;0.0;1;0;0;7;100.0;10.0;10.0;10.0;10.0;10.0;10.0;50.39969226382209;1.0;0.66;4
12047;39.0;7;100.0;4;64.56904097353802;-3.696916473762791;32.38965911831498;2;1.0;1.0;12;0.0;9.0;1;10;16;91;94.0;9.0;10.0;10.0;10.0;10.0;10.0;58.728428701180746;2.0;2.73;4
14753;16.0;5;100.0;4;37.81395348837209;-3.7109658374188657;32.38965911831498;2;1.0;1.0;17;0.0;0.0;1;0;7;70;90.0;9.0;9.0;9.0;9.0;8.0;9.0;65.22549019607843;2.0;5.98;4
11054;38.0;8;100.0;5;64.56904097353802;-3.7000621175065027;32.38965911831498;2;1.0;1.0;17;0.0;0.0;1;12;0;2;90.0;10.0;10.0;10.0;9.0;9.0;10.0;50.39969226382209;1.0;0.66;3
10583;45.0;6;100.0;4;74.76748971193416;-3.663564446049462;80.1381671466533;2;1.0;1.0;20;150.0;15.0;1;10;6;39;96.0;10.0;9.0;10.0;10.0;10.0;10.0;65.22549019607843;7.0;2.7;5
1880;17.0;4;100.0;3;34.44303797468354;-3.748078276774473;32.38965911831498;2;1.0;1.0;9;0.0;5.0;1;11;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;2.0;2.1509986225895266;3
4366;48.0;6;98.0;4;60.31679389312977;-3.699904646753104;80.1381671466533;3;1.0;1.0;10;150.0;90.0;2;5;0;1;40.0;6.0;2.0;10.0;10.0;8.0;4.0;58.728428701180746;44.0;0.31;4
13924;80.0;6;100.0;6;64.56904097353802;-3.7003746196468996;80.1381671466533;9;2.0;2.0;19;150.0;0.0;2;10;2;17;98.0;10.0;9.0;10.0;10.0;10.0;9.0;65.22549019607843;1.0;5.26;5
4358;35.0;5;100.0;5;60.31679389312977;-3.7070002547015104;32.38965911831498;2;1.0;1.0;14;0.0;0.0;1;0;29;2;80.0;8.0;7.0;8.0;8.0;8.0;8.0;58.728428701180746;1.0;1.22;4
6306;24.0;5;100.0;3;34.44303797468354;-3.746708606712564;32.38965911831498;2;1.0;1.0;10;0.0;5.0;1;6;30;15;92.0;9.0;8.0;9.0;9.0;8.0;9.0;65.22549019607843;5.0;1.09;2
2592;25.0;5;96.04274307186472;2;60.31679389312977;-3.715205032056846;32.38965911831498;2;1.0;1.0;10;0.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;3
9515;30.0;7;96.04274307186472;3;42.264044943820224;-3.653465220154648;32.38965911831498;1;0.0;1.0;13;0.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;3
11024;22.0;3;96.04274307186472;2;64.56904097353802;-3.702418415130504;32.38965911831498;1;1.0;1.0;10;0.0;0.0;1;0;22;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;2
114;35.0;4;100.0;6;45.655913978494624;-3.6864366733582283;32.38965911831498;2;1.0;1.0;14;0.0;0.0;1;0;21;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;50.39969226382209;1.0;2.1509986225895266;5
3681;23.0;4;50.0;4;52.68181818181818;-3.6489023203959614;32.38965911831498;1;2.0;2.0;16;0.0;0.0;1;25;27;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;65.22549019607843;1.0;0.53;3
11375;119.0;5;100.0;6;44.16263736263736;-3.6905818938192168;80.1381671466533;6;1.0;2.0;22;0.0;40.0;4;38;13;88;96.0;10.0;10.0;10.0;10.0;10.0;10.0;50.39969226382209;7.0;3.52;6
12419;75.0;7;97.0;4;64.56904097353802;-3.703708095150674;80.1381671466533;4;1.0;1.0;15;200.0;45.0;2;15;11;118;91.0;10.0;10.0;10.0;10.0;9.0;9.0;65.22549019607843;5.0;2.57;6
14529;43.0;7;100.0;5;64.56904097353802;-3.7062497585694287;80.1381671466533;3;1.0;1.0;18;150.0;25.0;2;10;6;57;94.0;9.0;9.0;10.0;10.0;10.0;9.0;65.22549019607843;1.0;4.08;4
8621;48.0;5;100.0;3;52.68181818181818;-3.6600016144641017;80.1381671466533;4;1.0;1.0;19;200.0;20.0;2;5;9;32;93.0;10.0;10.0;10.0;10.0;9.0;9.0;65.22549019607843;1.0;1.6;4
12086;32.0;5;50.0;3;64.56904097353802;-3.7067277249488884;32.38965911831498;2;5.0;1.0;19;200.0;0.0;1;0;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;65.22549019607843;38.0;2.1509986225895266;3
10339;49.0;6;100.0;4;64.56904097353802;-3.7025135763192334;80.1381671466533;3;1.0;1.0;10;99.0;15.0;2;9;0;144;88.0;9.0;9.0;10.0;10.0;10.0;9.0;58.728428701180746;1.0;4.72;5
9366;70.0;4;96.04274307186472;3;68.8821138211382;-3.6749974103222502;80.1381671466533;3;1.0;2.0;13;150.0;40.0;2;15;0;0;92.07111806642322;9.45682451253482;9.377828054298643;9.656794425087108;9.676700887419523;9.550540257929592;9.274708035558655;65.22549019607843;1.0;2.1509986225895266;2
8032;49.0;5;100.0;4;64.56904097353802;-3.7058187808603607;80.1381671466533;4;1.0;1.0;14;150.0;30.0;3;0;7;84;98.0;10.0;10.0;10.0;10.0;10.0;10.0;65.22549019607843;1.0;4.77;6
9733;38.0;8;100.0;5;64.56904097353802;-3.7028863115455546;32.38965911831498;4;2.0;1.0;10;0.0;5.0;2;7;13;154;86.0;9.0;9.0;9.0;9.0;10.0;9.0;65.22549019607843;5.0;4.34;4
12560;15.0;8;100.0;3;41.573170731707314;-3.6177729190750645;32.38965911831498;1;1.0;1.0;12;0.0;0.0;1;0;5;13;98.0;10.0;10.0;10.0;10.0;9.0;10.0;58.728428701180746;1.0;4.11;3
